,booktype,Title,Author
4799,言情,夜行歌,紫微流年
3298,言情,冒牌女友是大明星,未曾歡
4800,言情,馴夫花魁(限),安靖
4801,言情,控制欲,總攻大人
4802,言情,攀墙吃口梨,Pear
4805,言情,家醜,傅渝
4807,言情,鎖清歡：誰家紅杏要出牆,桃若焉知
3296,言情,魏晉乾飯人,鬱雨竹
4809,言情,沉香雪,是今
4775,言情,陸少的暖婚新妻（約定期間愛上你）,唐玉
4770,言情,清宮寵妃,小琉花
4727,言情,總監的千萬嫩妻(限)（大老闆特集2）,桂小雯
4769,言情,吾皇萬歲萬萬歲／江山為聘,行煙煙
4730,言情,強勢鎖婚：傅少的啞巴新妻,一湖深
3347,言情,嫁給權臣後，女配被嬌寵了,楚玥
4733,言情,徐徐誘之,北傾
3341,言情,從1982開始的趕山生涯,指尖靈
4738,言情,怎敵她千嬌百媚,伊人睽睽
4739,言情,獨寵,阿白不白
3336,言情,我得給這世界上堂課,巫馬行
4744,言情,我嚐一下可以嗎,儋耳蠻花
4746,言情,玉佩裡的太子爺,九月流火
3331,言情,從刷經驗開始修行,水煮多寶魚
4748,言情,你聽起來很好睡,瓷話
4749,言情,做他懷裏的猫,槿淮
4751,言情,若愛若寵,三千弱水
3326,言情,全家偷聽我心聲，流放路上贏麻了,梵茀
4757,言情,溫柔十里冬,宋玖槿
3321,言情,一開始，我隻想搞錢,油炸大金
4760,言情,餘溫,瘋子三三
4761,言情,暗黑系暖婚,顧南西
35030,言情,無人救我[無限],織朱
4763,言情,全世界都想要的他，屬於我,蔣牧童
4764,言情,格雷的五十道陰影Ｉ：調教,EL·詹姆絲
3318,言情,跟著娘娘談戀愛,花鬧鬧
4766,言情,寵后養成記,抹茶曲奇
4767,言情,夫君他是科舉大佬,杜卿卿
3316,言情,真假千金在親情綜藝爆紅了,樹阿懶
4644,言情,我罩著你呀,阿淳
4640,言情,國手朝歌,軟糖糖
4639,言情,爺是病嬌，得寵著！,顧南西
4519,言情,只怪當初瞎了眼,板栗子
4521,言情,給您跪下,醉折枝
4522,言情,陛下太偏心,梨仔
4523,言情,奸臣夫人的悠閒日子,抹茶曲奇
4524,言情,重生之錦繡嫡女,醉瘋魔
3444,言情,旺家小娘子,44而非
4525,言情,暮春之令,海青拿天鵝
3443,言情,穿成豪門心機女配,風鈴笑
4529,言情,後娘[穿越],元月月半
4530,言情,偏執的甜,趙十餘
3442,言情,帝姬與惡犬,秦靈書
4531,言情,盛世嫡妃,鳳輕
4532,言情,黑白,朝小誠／陸涼風／振家小青年
4533,言情,他站在時光深處,北傾
4535,言情,奪嫡／舊時燕飛帝王家,狂上加狂
4537,言情,撿來的男人登基了,未妝
4539,言情,那片蔚藍色,蔣牧童
4541,言情,砸鍋賣鐵去上學,紅刺北
3440,言情,我在古代搞基建,嚶嘻嘻
4543,言情,小淚痣,鹿靈
4544,言情,時光與他，恰是正好,蔣牧童
3439,言情,春光繾綣,景姒
3437,言情,運動番攻略好感指南,一支小竹子
4548,言情,百花深處／百花深處～有女生財,深北以北／沈北
4551,言情,籠中月,島頔／小八老爺
4552,言情,重生女首富：嬌養攝政王,溫流
4520,言情,修真聊天群,聖騎士的傳說
4518,言情,千金填房,蘇妙手
4554,言情,隔壁的偏執狂,柿子果
4517,言情,兔子壓倒窩邊草（獨家童話）,憶錦
4488,言情,死也不離婚,桃禾枝
4489,言情,錦繡田園：靈泉農女種田忙,風染夏涼
3454,言情,青山撞我,姀錫
4491,言情,豪門兒子得一送一,余書喬
4492,言情,宦寵,綠藥
3453,言情,八零年代富豪之路,葡萄乾頌
4493,言情,待你心裏不挪窩,舒虞
4494,言情,蜜愛100分：不良鮮妻有點甜\恰似寒光遇驕陽,囧囧有妖
4495,言情,他與愛同罪,北傾
3452,言情,在古代老幹部面前作死後,沙舟踏翠
3451,言情,星際之我養一隻大獅子,蝦炒飯
4498,言情,婚心如玉：權少，寵妻上天,安淩曉
4499,言情,如珠似玉,月下蝶影
3450,言情,我真不是活閻王,我真不想出名
4501,言情,重生之拯救大佬計劃,鐘僅
4502,言情,春滿香夏,棺材裡的笑聲
4504,言情,鑽石糖,蘇錢錢
3448,言情,我方輔助已超神[電競],五香鹹魚
3447,言情,花醉滿堂,西子情
4509,言情,退婚後，司少追妻火葬場！,顏蘇
3446,言情,凶戾元帥的小人魚重生了,我行奇野
3445,言情,淋濕夏夜,荔枝果醬
4513,言情,導演，消消火,喻言時
4514,言情,權爺寵婚：嬌妻撩人,悠哉依然
4515,言情,奈何她媚色撩人,發達的淚腺
4553,言情,寵到深處自然萌,邱梓韞
4556,言情,斯文敗類,總攻大人
4638,言情,叫你家長來,笙落落
4597,言情,一吻定終身,北途川
4599,言情,夜的命名術,會說話的肘子
4600,言情,他比錢更撩/你是我的命中註定,荔枝香近
4602,言情,打火機與公主裙·荒草園 (點燃我，溫暖你),twentine
4604,言情,那個不為人知的故事,Twentine
4605,言情,慈悲城,丁墨
3422,言情,撿來的戀人是惡魔[西幻],舊書報刊
3421,言情,從修牛蹄開始,陶良辰
3418,言情,重生年代小辣媳，長腿老公追著寵,七初九
4609,言情,痛仰,黃三
4610,言情,落雪滿南山,明開夜合
4611,言情,他來了，請閉眼,丁墨
